h3_polyfill,index,STATEFP,STATENS,AFFGEOID,GEOID,STUSPS,NAME,LSAD,ALAND,AWATER,geometry,LAT,LONG,opt_tilt
834451fffffffff,0,28,1779790,0400000US28,28,MS,Mississippi,0,1.21534E+11,3926919758,"POLYGON ((-88.83767178341174 30.82713322084233, -88.3591717029772 31.295846940135363, -88.58478849403987 31.912464736858755, -89.29740992250284 32.062053651248206, -89.7794734704032 31.59073781085478, -89.54539288839108 30.972456264242595, -88.83767178341174 30.82713322084233))",31.44430863,-89.06812975,28
834458fffffffff,0,28,1779790,0400000US28,28,MS,Mississippi,0,1.21534E+11,3926919758,"POLYGON ((-89.53187646021644 32.678724939624104, -89.04511876876447 33.1440819007423, -89.2799400743399 33.758738408577685, -90.01027450936651 33.90962395789309, -90.50050579461582 33.441811573125, -90.25697589361646 32.82559032395142, -89.53187646021644 32.678724939624104))",33.29395529,-89.77157968,30
834443fffffffff,0,28,1779790,0400000US28,28,MS,Mississippi,0,1.21534E+11,3926919758,"POLYGON ((-90.98001855499942 31.25390258662085, -90.49938240180009 31.733531031459837, -90.74237144889806 32.35169080962794, -91.4744264324729 32.491469216001946, -91.95800539803801 32.00915070590773, -91.7066395361683 31.389765762886352, -90.98001855499942 31.25390258662085))",31.87245142,-91.22755293,28
83445dfffffffff,0,28,1779790,0400000US28,28,MS,Mississippi,0,1.21534E+11,3926919758,"POLYGON ((-90.74237144889806 32.35169080962794, -90.25697589361646 32.82559032395142, -90.50050579461582 33.441811573125, -91.23804838962502 33.58545943938482, -91.7265202362083 33.10899485326931, -91.4744264324729 32.491469216001946, -90.74237144889806 32.35169080962794))",32.96836659,-90.99056544,29
834442fffffffff,0,28,1779790,0400000US28,28,MS,Mississippi,0,1.21534E+11,3926919758,"POLYGON ((-90.0228332474233 30.49554307350628, -89.54539288839108 30.972456264242595, -89.7794734704032 31.59073781085478, -90.49938240180009 31.733531031459837, -90.98001855499942 31.25390258662085, -90.73759676608051 30.63421790250796, -90.0228332474233 30.49554307350628))",31.11426266,-90.26155684,28
83264bfffffffff,0,28,1779790,0400000US28,28,MS,Mississippi,0,1.21534E+11,3926919758,"POLYGON ((-88.0658863098819 34.05983621723472, -87.57353322104679 34.51005849756426, -87.7996600251781 35.120426413715364, -88.52719612846512 35.282475559376714, -89.02355922991582 34.830044724730286, -88.78841621793354 34.21779377568846, -88.0658863098819 34.05983621723472))",34.67096081,-88.29722183,31
83445afffffffff,0,28,1779790,0400000US28,28,MS,Mississippi,0,1.21534E+11,3926919758,"POLYGON ((-88.32756076372677 32.99027953528539, -87.83989248237171 33.446999061636284, -88.0658863098819 34.05983621723472, -88.78841621793354 34.21779377568846, -89.2799400743399 33.758738408577685, -89.04511876876447 33.1440819007423, -88.32756076372677 32.99027953528539))",33.60381108,-88.55863778,30
834459fffffffff,0,28,1779790,0400000US28,28,MS,Mississippi,0,1.21534E+11,3926919758,"POLYGON ((-90.50050579461582 33.441811573125, -90.01027450936651 33.90962395789309, -90.25431711311859 34.523506555278985, -90.9974006083456 34.670972880359194, -91.49084714009675 34.200716475371294, -91.23804838962502 33.58545943938482, -90.50050579461582 33.441811573125))",34.05621017,-90.74933448,30
83445bfffffffff,0,28,1779790,0400000US28,28,MS,Mississippi,0,1.21534E+11,3926919758,"POLYGON ((-89.2799400743399 33.758738408577685, -88.78841621793354 34.21779377568846, -89.02355922991582 34.830044724730286, -89.75917248139794 34.98489313139716, -90.25431711311859 34.523506555278985, -90.01027450936651 33.90962395789309, -89.2799400743399 33.758738408577685))",34.3716251,-89.52008913,31
83445efffffffff,0,28,1779790,0400000US28,28,MS,Mississippi,0,1.21534E+11,3926919758,"POLYGON ((-88.58478849403987 31.912464736858755, -88.10173760069402 32.37535444162421, -88.32756076372677 32.99027953528539, -89.04511876876447 33.1440819007423, -89.53187646021644 32.678724939624104, -89.29740992250284 32.062053651248206, -88.58478849403987 31.912464736858755))",32.52801779,-88.81557236,29
